Date active,Building address,Unit,Rent,Payment Standard (PS),Ratio,# Beds,# Baths,Months Free,Owner Paid,Rent Stabilized,Postal Code,Building Price Range,Neighborhood,Parent Neighborhood,Neighborhood3,Property Manager,Number of Floors,Number of Units,Year Built,Active,Amenities,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Probability
3/8/2024,535 West 23rd Street,1,6095.0,2696,2.3,1,1.0,nan,nan,nan,10011,$$$$,Chelsea,Midtown,Midtown,Related Rentals,14.0,313,2001.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,nan,0.20712145455416048
3/8/2024,535 West 23rd Street,1,6150.0,2696,2.3,1,1.5,nan,nan,nan,10011,$$$$,Chelsea,Midtown,Midtown,Related Rentals,14.0,313,2001.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,nan,0.0840996697641115
4/24/2024,10 Waterside Plaza,1G-1 -20 - 31K,4825.0,2696,1.8,1,1.0,nan,nan,nan,10010,$$,Kips Bay,nan,Midtown,Brookfield Properties,37.0,380,1974.0,Yes,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Swimming Pool,nan,nan,nan,nan,nan,0.7632020999014543
4/24/2024,10 Waterside Plaza,1G-1 -20 - 35K,4865.0,2696,1.8,1,1.0,nan,nan,nan,10010,$$,Kips Bay,nan,Midtown,Brookfield Properties,37.0,380,1974.0,Yes,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Swimming Pool,nan,nan,nan,nan,nan,0.7575477065621959
3/8/2024,535 West 23rd Street,1,6550.0,2696,2.4,1,1.0,nan,nan,nan,10011,$$$$,Chelsea,Midtown,Midtown,Related Rentals,14.0,313,2001.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,nan,0.12303423720205765
4/24/2024,10 Waterside Plaza,1H-2- 20 - 19G,4825.0,2696,1.8,1,1.0,nan,nan,nan,10010,$$,Kips Bay,nan,Midtown,Brookfield Properties,37.0,380,1974.0,Yes,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Swimming Pool,nan,nan,nan,nan,nan,0.7632020999014543
4/24/2024,10 Waterside Plaza,1H-2 - 20 - 30G,4935.0,2696,1.8,1,1.0,nan,nan,nan,10010,$$,Kips Bay,nan,Midtown,Brookfield Properties,37.0,380,1974.0,Yes,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Swimming Pool,nan,nan,nan,nan,nan,0.7474336500688765
4/24/2024,10 Waterside Plaza,1J-1,4915.0,2696,1.8,1,1.0,nan,nan,nan,10010,$$,Kips Bay,nan,Midtown,Brookfield Properties,37.0,380,1974.0,Yes,Doorman,Elevator(3),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Swimming Pool,nan,nan,nan,nan,nan,0.7503516611520943
3/8/2024,535 West 23rd Street,1,6575.0,2696,2.4,1,1.0,nan,nan,nan,10011,$$$$,Chelsea,Midtown,Midtown,Related Rentals,14.0,313,2001.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Cats Allowed,Dogs Allowed,Roof Deck,nan,nan,nan,nan,0.12095668020427872
3/8/2024,89 Murray Street,1,6400.0,2696,2.4,1,1.0,nan,nan,nan,10007,$$$$,Tribeca,Lower Manhattan,Lower Manhattan,Related Rentals,11.0,163,2007.0,Yes,Doorman,Elevator(2),Gym,Laundry in Building,Live in super,Management Company,nan,Parking / Garage,Cats Allowed,Dogs Allowed,nan,nan,nan,nan,0.159878181079121
